"","Address","Arena","City","State  Abrv","State","Team","Gender Distinction","Conference","Capacity","Opened","Lat","Lon"
"173","West Long Branch, NJ, Multipurpose Activity Center","Multipurpose Activity Center","West Long Branch","NJ","New Jersey","Monmouth",NA,"MAAC","4,100","2009",-74.0077835,40.279307
"174","Lewiston, NY, Gallagher Center","Gallagher Center","Lewiston","NY","New York","Niagara",NA,"MAAC","2,400","1949",-79.0380159,43.1374081
"175","Hamden, CT, TD Bank Sports Center","TD Bank Sports Center","Hamden","CT","Connecticut","Quinnipiac",NA,"MAAC","3,570","2007",-72.9110904,41.4142098
"176","Lawrenceville, NJ, Alumni Gymnasium","Alumni Gymnasium","Lawrenceville","NJ","New Jersey","Rider",NA,"MAAC","1,950","1958",-74.7354358,40.2788285
"177","Albany, NY, Times Union Center","Times Union Center","Albany","NY","New York","Siena men","Men","MAAC","15,229","1990",-73.7549371,42.6485901
"178","Jersey City, NJ, Yanitelli Center","Yanitelli Center","Jersey City","NJ","New Jersey","Saint Peter's",NA,"MAAC","3,200","1975",-74.073102,40.7277258
"179","Akron, OH, James A. Rhodes Arena","James A. Rhodes Arena","Akron","OH","Ohio","Akron",NA,"MAC","5,500","1983",-81.5087431,41.0758815
"180","Muncie, IN, John E. Worthen Arena","John E. Worthen Arena","Muncie","IN","Indiana","Ball State",NA,"MAC","11,500","1991",-85.4061499,40.2070828
"181","Bowling Green, OH, Stroh Center","Stroh Center","Bowling Green","OH","Ohio","Bowling Green",NA,"MAC","4,700","2011",-83.626208,41.375459
"182","Amherst, NY, Alumni Arena","Alumni Arena","Amherst","NY","New York","Buffalo",NA,"MAC","6,100","1982",-78.7811679,43.0001109
"183","Mount Pleasant, MI, McGuirk Arena","McGuirk Arena","Mount Pleasant","MI","Michigan","Central Michigan",NA,"MAC","5,300","1973",-84.7740592,43.5814943
"184","Ypsilanti, MI, Convocation Center","Convocation Center","Ypsilanti","MI","Michigan","Eastern Michigan",NA,"MAC","8,824","1998",-83.6473247,42.2542182
"185","Kent, OH, Memorial Athletic and Convocation Center","Memorial Athletic and Convocation Center","Kent","OH","Ohio","Kent State",NA,"MAC","6,327","1950",-81.3439854,41.1482226
"186","Oxford, OH, Millett Hall","Millett Hall","Oxford","OH","Ohio","Miami (Ohio)",NA,"MAC","6,400","1968",-84.7345863,39.5167527
"187","DeKalb, IL, Convocation Center","Convocation Center","DeKalb","IL","Illinois","Northern Illinois",NA,"MAC","10,000","2002",-88.7856583,41.9352122
"188","Athens, OH, Convocation Center","Convocation Center","Athens","OH","Ohio","Ohio",NA,"MAC","13,080","1968",-82.1056916,39.323245
"189","Toledo, OH, Savage Arena","Savage Arena","Toledo","OH","Ohio","Toledo",NA,"MAC","7,300","1976",-83.6097317,41.6601653
"190","Kalamazoo, MI, University Arena","University Arena","Kalamazoo","MI","Michigan","Western Michigan",NA,"MAC","5,421","1957",-85.60845,42.2833
"191","Daytona, FL, Moore Gymnasium","Moore Gymnasium","Daytona","FL","Florida","Bethune-Cookman",NA,"MEAC","3,000","1953[3]",-85.60845,42.2833
"192","Baltimore, MD, Physical Education Complex","Physical Education Complex","Baltimore","MD","Maryland","Coppin State",NA,"MEAC","4,100","2009",-76.6568654,39.3156591
"193","Dover, DE, Memorial Hall","Memorial Hall","Dover","DE","Delaware","Delaware State",NA,"MEAC","3,000","1982[4]",-75.5432382,39.187322
"194","Tallahassee, FL, Teaching Gym","Teaching Gym","Tallahassee","FL","Florida","Florida A&M",NA,"MEAC","9,639","2009",-84.2905532,30.4242136
"195","Washington, DC, Burr Gymnasium","Burr Gymnasium","Washington","DC","District of Columbia","Howard",NA,"MEAC","2,700","1963",-77.022094,38.9263793
"196","Princess Anne, MD, Hytche Athletic Center","Hytche Athletic Center","Princess Anne","MD","Maryland","Maryland Eastern Shore",NA,"MEAC","5,500","1999[5]",-75.6872167,38.211371
"197","Baltimore, MD, Talmadge L. Hill Field House","Talmadge L. Hill Field House","Baltimore","MD","Maryland","Morgan State",NA,"MEAC","4,250","1975[6]",-76.5852961,39.342424
"198","Norfolk, VA, Joseph G. Echols Memorial Hall","Joseph G. Echols Memorial Hall","Norfolk","VA","Virginia","Norfolk State",NA,"MEAC","7,000","1982",-76.2582396,36.8480386
"199","Greensboro, NC, Corbett Sports Center","Corbett Sports Center","Greensboro","NC","North Carolina","North Carolina A&T",NA,"MEAC","5,700","1978",-79.7690541,36.0767483
"200","Durham, NC, McLendon–McDougald Gymnasium","McLendon–McDougald Gymnasium","Durham","NC","North Carolina","North Carolina Central",NA,"MEAC","3,056","1955",-78.8976153,35.975878
"201","Savannah, GA, Tiger Arena","Tiger Arena","Savannah","GA","Georgia","Savannah State",NA,"MEAC[g]","6,000","2000",-81.0658947,32.0237904
"202","Orangeburg, SC, SHM Memorial Center","SHM Memorial Center","Orangeburg","SC","South Carolina","South Carolina State",NA,"MEAC","3,200","1968",-80.846515,33.5010199
"203","Peoria, IL, Carver Arena","Carver Arena","Peoria","IL","Illinois","Bradley men","Men","Missouri Valley","11,164","1982",-89.5942589,40.691985
"204","Des Moines, IA, Knapp Center","Knapp Center","Des Moines","IA","Iowa","Drake",NA,"Missouri Valley","7,152","1992",-93.6521616,41.6046804
"205","Evansville, IN, Ford Center","Ford Center","Evansville","IN","Indiana","Evansville",NA,"Missouri Valley","10,000","2011",-87.5678588,37.9721356
"206","Normal, IL, Redbird Arena","Redbird Arena","Normal","IL","Illinois","Illinois State",NA,"Missouri Valley","10,200","1989",-88.9987999,40.5106898
"207","Terre Haute, IN, Hulman Center","Hulman Center","Terre Haute","IN","Indiana","Indiana State",NA,"Missouri Valley","10,200","1973",-87.4051217,39.4685021
"208","Chicago, IL, Joseph J. Gentile Arena","Joseph J. Gentile Arena","Chicago","IL","Illinois","Loyola (Chicago)",NA,"Missouri Valley","4,486","1996",-87.6591153,42.0006462
"209","Springfield, MO, JQH Arena","JQH Arena","Springfield","MO","Missouri","Missouri State",NA,"Missouri Valley","11,000","2008",-93.28298,37.202005
"210","Cedar Falls, IA, McLeod Center","McLeod Center","Cedar Falls","IA","Iowa","Northern Iowa",NA,"Missouri Valley","6,650","2006",-92.4672647,42.5143658
"211","Carbondale, IL, SIU Arena","SIU Arena","Carbondale","IL","Illinois","Southern Illinois",NA,"Missouri Valley","8,339","1964",-89.2187116,37.7083282
"212","Valparaiso, IN, Athletics–Recreation Center","Athletics–Recreation Center","Valparaiso","IN","Indiana","Valparaiso",NA,"Missouri Valley","5,000","1984",-87.0483582,41.4642298
"213","Colorado Springs, CO, Clune Arena","Clune Arena","Colorado Springs","CO","Colorado","Air Force",NA,"Mountain West","5,858","1968",-104.8837735,39.0136037
"214","Boise, ID, Taco Bell Arena","Taco Bell Arena","Boise","ID","Idaho","Boise State",NA,"Mountain West","12,480","1982",-116.198881,43.6035738
"215","Fort Collins, CO, Moby Arena","Moby Arena","Fort Collins","CO","Colorado","Colorado State",NA,"Mountain West","8,745","1966",-105.0932246,40.5756843
"216","Fresno, CA, Save Mart Center","Save Mart Center","Fresno","CA","California","Fresno State",NA,"Mountain West","15,544","2003",-119.7385011,36.809691
"217","Reno, NV, Lawlor Events Center","Lawlor Events Center","Reno","NV","Nevada","Nevada",NA,"Mountain West","11,536","1983",-119.8182998,39.5450902
"218","Albuquerque, NM, Dreamstyle Arena","Dreamstyle Arena","Albuquerque","NM","New Mexico","New Mexico",NA,"Mountain West","15,411","1966",-106.6322619,35.0670344
"219","San Diego, CA, Viejas Arena","Viejas Arena","San Diego","CA","California","San Diego State",NA,"Mountain West","12,414","1997",-117.0746039,32.7738062
"220","San Jose, CA, Event Center Arena","Event Center Arena","San Jose","CA","California","San Jose State",NA,"Mountain West","5,000","1989",-121.8800817,37.3352281
"221","Paradise, NV, Thomas & Mack Center","Thomas & Mack Center","Paradise","NV","Nevada","UNLV men","Men","Mountain West","18,776","1983",-115.1451269,36.104119
"222","Logan, UT, Smith Spectrum","Smith Spectrum","Logan","UT","Utah","Utah State",NA,"Mountain West","10,270","1968",-111.8119572,41.7476092
"223","Laramie, WY, Arena-Auditorium","Arena-Auditorium","Laramie","WY","Wyoming","Wyoming",NA,"Mountain West","15,028","1982",-105.5694365,41.313341
"224","Smithfield, RI, Chace Athletic Center","Chace Athletic Center","Smithfield","RI","Rhode Island","Bryant",NA,"Northeast","2,700","2001",-71.5394146,41.9211855
"225","New Britain, CT, William H. Detrick Gymnasium","William H. Detrick Gymnasium","New Britain","CT","Connecticut","Central Connecticut",NA,"Northeast","2,654","1965",-72.764167,41.693255
"226","Hackensack, NJ, Rothman Center","Rothman Center","Hackensack","NJ","New Jersey","Fairleigh Dickinson",NA,"Northeast","5,000","1987",-74.0323991,40.8967153
"227","Brooklyn, NY, Wellness, Recreation & Athletics Center","Wellness, Recreation & Athletics Center","Brooklyn","NY","New York","LIU Brooklyn",NA,"Northeast","2,500","2006",-73.9794241,40.5758042
"228","Emmitsburg, MD, Knott Arena","Knott Arena","Emmitsburg","MD","Maryland","Mount St. Mary's",NA,"Northeast","3,121","1987",-77.3461851,39.6796739
"229","Pittsburgh, PA, UPMC Events Center[h]","UPMC Events Center[h]","Pittsburgh","PA","Pennsylvania","Robert Morris",NA,"Northeast","4,000","2019",-79.9622834,40.4438281
"230","Fairfield, CT, William H. Pitt Center","William H. Pitt Center","Fairfield","CT","Connecticut","Sacred Heart",NA,"Northeast","2,062","1997",-73.2446525,41.2196387
"231","Brooklyn, NY, Generoso Pope Athletic Complex","Generoso Pope Athletic Complex","Brooklyn","NY","New York","St. Francis Brooklyn",NA,"Northeast","1,200","1971",-73.9921652,40.6932301
"232","Loretto, PA, DeGol Arena","DeGol Arena","Loretto","PA","Pennsylvania","Saint Francis (PA)",NA,"Northeast","3,500","1972",-78.6373747,40.5062359
"233","Staten Island, NY, Spiro Sports Center","Spiro Sports Center","Staten Island","NY","New York","Wagner",NA,"Northeast","2,100","1999",-74.095729,40.6149664
"234","Clarksville, TN, Dunn Center","Dunn Center","Clarksville","TN","Tennessee","Austin Peay",NA,"Ohio Valley","9,000","1975",-87.3566819,36.5363093
"235","Nashville, TN, Curb Event Center","Curb Event Center","Nashville","TN","Tennessee","Belmont",NA,"Ohio Valley","5,085","2003",-86.7945579,36.132314
"236","Charleston, IL, Lantz Arena","Lantz Arena","Charleston","IL","Illinois","Eastern Illinois",NA,"Ohio Valley","5,300","1967",-88.1788481,39.4803349
"237","Richmond, KY, Alumni Coliseum","Alumni Coliseum","Richmond","KY","Kentucky","Eastern Kentucky",NA,"Ohio Valley","6,500","1963",-84.3012724,37.7373512
"238","Jacksonville, AL, Pete Mathews Coliseum","Pete Mathews Coliseum","Jacksonville","AL","Alabama","Jacksonville State",NA,"Ohio Valley","5,300","1974",-85.7735038,33.8241586
"239","Morehead, KY, Ellis Johnson Arena","Ellis Johnson Arena","Morehead","KY","Kentucky","Morehead State",NA,"Ohio Valley","6,500","1981",-83.4326841,38.1839705
"240","Murray, KY, CFSB Center","CFSB Center","Murray","KY","Kentucky","Murray State",NA,"Ohio Valley","8,602","1998",-88.319923,36.622687
"241","Cape Girardeau, MO, Show Me Center","Show Me Center","Cape Girardeau","MO","Missouri","Southeast Missouri State",NA,"Ohio Valley","6,972","1987",-89.5275416,37.3199939
"242","Edwardsville, IL, Vadalabene Center","Vadalabene Center","Edwardsville","IL","Illinois","SIU Edwardsville",NA,"Ohio Valley","4,000","1984",-90.0001457,38.7958638
"243","Martin, TN, Tom and Kathleen Elam Center","Tom and Kathleen Elam Center","Martin","TN","Tennessee","Tennessee-Martin",NA,"Ohio Valley","5,000","1969",-88.8680345,36.3435398
"244","Nashville, TN, Gentry Complex","Gentry Complex","Nashville","TN","Tennessee","Tennessee State",NA,"Ohio Valley","10,500","1980",-86.8291415,36.1690985
"245","Cookeville, TN, Eblen Center","Eblen Center","Cookeville","TN","Tennessee","Tennessee Tech",NA,"Ohio Valley","9,282","1977",-85.5095064,36.1783618
"246","Tucson, AZ, McKale Center","McKale Center","Tucson","AZ","Arizona","Arizona",NA,"Pac-12","14,545","1973",-110.9460745,32.2303021
"247","Tempe, AZ, Wells Fargo Arena","Wells Fargo Arena","Tempe","AZ","Arizona","Arizona State",NA,"Pac-12","10,754","1974",-111.9310057,33.4245048
"248","Berkeley, CA, Haas Pavilion","Haas Pavilion","Berkeley","CA","California","California",NA,"Pac-12","11,877","1933",-122.2623099,37.8693878
"249","Boulder, CO, CU Events Center","CU Events Center","Boulder","CO","Colorado","Colorado",NA,"Pac-12","11,064","1979",-105.2606052,40.0048315
"250","Eugene, OR, Matthew Knight Arena","Matthew Knight Arena","Eugene","OR","Oregon","Oregon",NA,"Pac-12","12,369","2011",-123.0663109,44.0449193
"251","Corvallis, OR, Gill Coliseum","Gill Coliseum","Corvallis","OR","Oregon","Oregon State",NA,"Pac-12","9,604","1949",-123.28071,44.5612886
"252","Stanford, CA, Maples Pavilion","Maples Pavilion","Stanford","CA","California","Stanford",NA,"Pac-12","7,329","1969",-122.1606326,37.4296225
"253","Los Angeles, CA, Pauley Pavilion","Pauley Pavilion","Los Angeles","CA","California","UCLA",NA,"Pac-12","13,800[7]","1965",-118.4469123,34.0703581
"254","Los Angeles, CA, Galen Center","Galen Center","Los Angeles","CA","California","USC",NA,"Pac-12","10,258","2006",-118.2798811,34.0209836
"255","Salt Lake City, UT, Jon M. Huntsman Center","Jon M. Huntsman Center","Salt Lake City","UT","Utah","Utah",NA,"Pac-12","15,000","1969",-111.8388029,40.7620609
"256","Seattle, WA, Alaska Airlines Arena at Hec Edmundson Pavilion","Alaska Airlines Arena at Hec Edmundson Pavilion","Seattle","WA","Washington","Washington",NA,"Pac-12","10,000","1927",-122.3021385,47.6520749
"257","Pullman, WA, Beasley Coliseum","Beasley Coliseum","Pullman","WA","Washington","Washington State",NA,"Pac-12","11,671","1973",-117.158085,46.735235
"258","Washington, DC, Bender Arena","Bender Arena","Washington","DC","District of Columbia","American",NA,"Patriot","4,500","1988",-77.0899073,38.9377542
"259","West Point, NY, Christl Arena","Christl Arena","West Point","NY","New York","Army",NA,"Patriot","5,043","1985",-73.9656782,41.3863864
"260","Boston, MA, Agganis Arena","Agganis Arena","Boston","MA","Massachusetts","Boston University",NA,"Patriot","7,200","2005",-71.1177297,42.3521901
"261","Lewisburg, PA, Sojka Pavilion","Sojka Pavilion","Lewisburg","PA","Pennsylvania","Bucknell",NA,"Patriot","4,000","2003",-76.8868827,40.9568332
"262","Hamilton, NY, Cotterell Court","Cotterell Court","Hamilton","NY","New York","Colgate",NA,"Patriot","1,750","1959",-75.5427014,42.8153295
"263","Worcester, MA, Hart Center","Hart Center","Worcester","MA","Massachusetts","Holy Cross",NA,"Patriot","3,600","1975",-71.8062758,42.234829
"264","Easton, PA, Kirby Sports Center","Kirby Sports Center","Easton","PA","Pennsylvania","Lafayette",NA,"Patriot","3,500","1973",-75.209704,40.7018683
"265","Bethlehem, PA, Stabler Arena","Stabler Arena","Bethlehem","PA","Pennsylvania","Lehigh",NA,"Patriot","6,000","1979",-75.357403,40.585281
"266","Baltimore, MD, Reitz Arena","Reitz Arena","Baltimore","MD","Maryland","Loyola (Maryland)",NA,"Patriot","3,000","1984[8]",-76.6185933,39.3467998
"267","Annapolis, MD, Alumni Hall","Alumni Hall","Annapolis","MD","Maryland","Navy",NA,"Patriot","5,710","1991",-76.4877359,38.9845155
"268","Tuscaloosa, AL, Coleman Coliseum","Coleman Coliseum","Tuscaloosa","AL","Alabama","Alabama",NA,"SEC","15,383","1968",-87.5397911,33.2029888
"269","Fayetteville, AR, Bud Walton Arena","Bud Walton Arena","Fayetteville","AR","Arkansas","Arkansas",NA,"SEC","19,368","1993",-94.1781382,36.0615904
"270","Auburn, AL, Auburn Arena","Auburn Arena","Auburn","AL","Alabama","Auburn",NA,"SEC","9,121","2010",-85.4924955,32.6027517
"271","Gainesville, FL, O'Connell Center","O'Connell Center","Gainesville","FL","Florida","Florida",NA,"SEC","12,000","1980",-82.3511181,29.6494769
"272","Athens, GA, Stegeman Coliseum","Stegeman Coliseum","Athens","GA","Georgia","Georgia",NA,"SEC","10,523","1964",-83.3770446,33.9425109
"273","Lexington, KY, Rupp Arena","Rupp Arena","Lexington","KY","Kentucky","Kentucky men[i]","Men","SEC","23,500","1976",-84.5022738,38.0486909
"274","Baton Rouge, LA, Pete Maravich Assembly Center","Pete Maravich Assembly Center","Baton Rouge","LA","Louisiana","LSU",NA,"SEC","13,215","1972",-91.1846265,30.4142761
"275","Oxford, MS, The Pavilion at Ole Miss","The Pavilion at Ole Miss","Oxford","MS","Mississippi","Mississippi",NA,"SEC","9,500","2016",-89.536016,34.3628353
"276","Starkville, MS, Humphrey Coliseum","Humphrey Coliseum","Starkville","MS","Mississippi","Mississippi State",NA,"SEC","10,575","1975",-88.7940254,33.4614159
"277","Columbia, MO, Mizzou Arena","Mizzou Arena","Columbia","MO","Missouri","Missouri",NA,"SEC","15,061","2004",-92.333753,38.9324614
"278","Columbia, SC, Colonial Life Arena","Colonial Life Arena","Columbia","SC","South Carolina","South Carolina",NA,"SEC","18,000","2002",-81.0373112,33.9947688
"279","Knoxville, TN, Thompson–Boling Arena","Thompson–Boling Arena","Knoxville","TN","Tennessee","Tennessee",NA,"SEC","21,678","1987",-83.9250359,35.9511794
"280","College Station, TX, Reed Arena","Reed Arena","College Station","TX","Texas","Texas A&M",NA,"SEC","12,989","1998",-96.346293,30.605851
"281","Nashville, TN, Memorial Gymnasium","Memorial Gymnasium","Nashville","TN","Tennessee","Vanderbilt",NA,"SEC","14,316","1952",-86.807313,36.1445375
"282","Chattanooga, TN, McKenzie Arena","McKenzie Arena","Chattanooga","TN","Tennessee","Chattanooga",NA,"Southern","10,928","1982",-85.3009296,35.0503542
"283","Charleston, SC, McAlister Field House","McAlister Field House","Charleston","SC","South Carolina","The Citadel",NA,"Southern","6,000","1939",-79.9623637,32.7985855
"284","Johnson City, TN, Freedom Hall Civic Center","Freedom Hall Civic Center","Johnson City","TN","Tennessee","East Tennessee State",NA,"Southern","6,149","1974",-82.3748699,36.3243351
"285","Greenville, SC, Timmons Arena","Timmons Arena","Greenville","SC","South Carolina","Furman",NA,"Southern","4,000","1998",-82.437289,34.9179345
"286","Macon, GA, Hawkins Arena","Hawkins Arena","Macon","GA","Georgia","Mercer",NA,"Southern","3,500","2004",-83.6522972,32.8289933
"287","Homewood, AL, Pete Hanna Center","Pete Hanna Center","Homewood","AL","Alabama","Samford",NA,"Southern","4,974","2007",-86.7971667,33.4638283
"288","Greensboro, NC, Greensboro Coliseum","Greensboro Coliseum","Greensboro","NC","North Carolina","UNC Greensboro",NA,"Southern","7,613","1959",-79.826131,36.058682
"289","Lexington, VA, Cameron Hall","Cameron Hall","Lexington","VA","Virginia","VMI",NA,"Southern","5,800","1981",-79.4365995,37.7885432
"290","Cullowhee, NC, Ramsey Center","Ramsey Center","Cullowhee","NC","North Carolina","Western Carolina",NA,"Southern","7,826","1986",-83.1822316,35.3036886
"291","Spartanburg, SC, Jerry Richardson Indoor Stadium","Jerry Richardson Indoor Stadium","Spartanburg","SC","South Carolina","Wofford",NA,"Southern","3,400","2017",-81.9336288,34.9634256
"292","Abilene, TX, Moody Coliseum","Moody Coliseum","Abilene","TX","Texas","Abilene Christian",NA,"Southland","4,600","1968",-99.7092098,32.4703736
"293","Conway, AR, Farris Center","Farris Center","Conway","AR","Arkansas","Central Arkansas",NA,"Southland","6,000","1972",-92.4595759,35.0814748
"294","Houston, TX, Sharp Gymnasium","Sharp Gymnasium","Houston","TX","Texas","Houston Baptist",NA,"Southland","1,000","1963[9]",-95.5167353,29.6949025
"295","San Antonio, TX, McDermott Center","McDermott Center","San Antonio","TX","Texas","Incarnate Word",NA,"Southland","2,000","1989",-98.4694139,29.4681469
"296","Beaumont, TX, Montagne Center","Montagne Center","Beaumont","TX","Texas","Lamar",NA,"Southland","10,746","1984",-94.0708128,30.0439428
"297","Lake Charles, LA, Health and Human Performance Education Complex","Health and Human Performance Education Complex","Lake Charles","LA","Louisiana","McNeese State",NA,"Southland","4,200","2018",-93.2143063,30.1707657
"298","New Orleans, LA, Lakefront Arena","Lakefront Arena","New Orleans","LA","Louisiana","New Orleans",NA,"Southland","8,933","1983",-90.0505073,30.0301443
"299","Thibodaux, LA, Stopher Gymnasium","Stopher Gymnasium","Thibodaux","LA","Louisiana","Nicholls State",NA,"Southland","3,800","1967[10]",-90.8010571,29.7922413
"300","Natchitoches, LA, Prather Coliseum","Prather Coliseum","Natchitoches","LA","Louisiana","Northwestern State",NA,"Southland","3,900","1964",-93.0951837,31.7440808
"301","Huntsville, TX, Bernard Johnson Coliseum","Bernard Johnson Coliseum","Huntsville","TX","Texas","Sam Houston State",NA,"Southland","6,100","1976",-95.5462159,30.7129318
"302","Hammond, LA, University Center","University Center","Hammond","LA","Louisiana","Southeastern Louisiana",NA,"Southland","7,500","1982",-90.4731213,30.5201614
"303","Nacogdoches, TX, William R. Johnson Coliseum","William R. Johnson Coliseum","Nacogdoches","TX","Texas","Stephen F. Austin",NA,"Southland","7,203","1974",-94.6408378,31.6222968
"304","Corpus Christi, TX, American Bank Center Arena[j]","American Bank Center Arena[j]","Corpus Christi","TX","Texas","Texas A&M-Corpus Christi",NA,"Southland","8,000","2004",-97.393558,27.808598
"305","Denver, CO, Magness Arena","Magness Arena","Denver","CO","Colorado","Denver",NA,"Summit","7,200","1999",-104.9619325,39.6821385
"306","Grand Forks, ND, Betty Engelstad Sioux Center","Betty Engelstad Sioux Center","Grand Forks","ND","North Dakota","North Dakota",NA,"Summit","3,300","2004",-97.0714417,47.9275954
"307","Fargo, ND, Scheels Center","Scheels Center","Fargo","ND","North Dakota","North Dakota State",NA,"Summit","5,700","2016",-96.799031,46.900447
"308","Omaha, NE, Baxter Arena","Baxter Arena","Omaha","NE","Nebraska","Omaha",NA,"Summit","7,500[11]","2015",-96.012948,41.236186
"309","Tulsa, OK, Mabee Center","Mabee Center","Tulsa","OK","Oklahoma","Oral Roberts",NA,"Summit","10,554","1972",-95.9557684,36.0480386
"310","Fort Wayne, IN, Hilliard Gates Sports Center","Hilliard Gates Sports Center","Fort Wayne","IN","Indiana","Purdue Fort Wayne",NA,"Summit","2,300","1981",-85.107348,41.1194073
"311","Vermillion, SD, Sanford Coyote Sports Center","Sanford Coyote Sports Center","Vermillion","SD","South Dakota","South Dakota",NA,"Summit","6,000","2016",-96.927792,42.7903588
"312","Brookings, SD, Frost Arena","Frost Arena","Brookings","SD","South Dakota","South Dakota State",NA,"Summit","6,500","1973",-96.7791265,44.318304
"313","Macomb, IL, Western Hall","Western Hall","Macomb","IL","Illinois","Western Illinois",NA,"Summit","5,139","1964",-90.6850172,40.4714189
"314","Boone, NC, George M. Holmes Convocation Center","George M. Holmes Convocation Center","Boone","NC","North Carolina","Appalachian State",NA,"Sun Belt","8,325","2000",-81.6758447,36.2106995
"315","Jonesboro, AR, First National Bank Arena","First National Bank Arena","Jonesboro","AR","Arkansas","Arkansas State",NA,"Sun Belt","10,563","1987",-90.6703325,35.8453929
"316","Conway, SC, HTC Center","HTC Center","Conway","SC","South Carolina","Coastal Carolina",NA,"Sun Belt","3,600","2012",-79.0155812,33.7990172
"317","Statesboro, GA, Hanner Fieldhouse","Hanner Fieldhouse","Statesboro","GA","Georgia","Georgia Southern",NA,"Sun Belt","4,325[12]","1969",-81.7788709,32.4276074
"318","Atlanta, GA, GSU Sports Arena","GSU Sports Arena","Atlanta","GA","Georgia","Georgia State",NA,"Sun Belt","3,854[13]","1973",-84.3864553,33.7516267
"319","Little Rock, AR, Jack Stephens Center","Jack Stephens Center","Little Rock","AR","Arkansas","Little Rock",NA,"Sun Belt","5,600","2005",-92.3404998,34.7283805
"320","Lafayette, LA, Cajundome","Cajundome","Lafayette","LA","Louisiana","Louisiana",NA,"Sun Belt","13,500","1985",-92.03887,30.218448
"321","Monroe, LA, Fant–Ewing Coliseum","Fant–Ewing Coliseum","Monroe","LA","Louisiana","Louisiana–Monroe",NA,"Sun Belt","7,085","1971",-92.0694529,32.5310638
"322","Mobile, AL, Mitchell Center","Mitchell Center","Mobile","AL","Alabama","South Alabama",NA,"Sun Belt","10,041","1998",-88.1796239,30.6920191
"323","Arlington, TX, College Park Center","College Park Center","Arlington","TX","Texas","Texas-Arlington",NA,"Sun Belt","7,000","2012",-97.1080623,32.7303774
"324","San Marcos, TX, Strahan Coliseum","Strahan Coliseum","San Marcos","TX","Texas","Texas State",NA,"Sun Belt","7,200","1982",-97.9326233,29.8885435
"325","Troy, AL, Trojan Arena","Trojan Arena","Troy","AL","Alabama","Troy",NA,"Sun Belt","5,200[14]","2012",-85.9523887,31.8022455
"326","Normal, AL, Elmore Gymnasium","Elmore Gymnasium","Normal","AL","Alabama","Alabama A&M",NA,"SWAC","6,000","1973[15]",-86.5754355,34.7854354
"327","Montgomery, AL, Dunn–Oliver Acadome","Dunn–Oliver Acadome","Montgomery","AL","Alabama","Alabama State",NA,"SWAC","7,400","1992",-86.2931585,32.361776
"328","Lorman, MS, Davey Whitney Complex","Davey Whitney Complex","Lorman","MS","Mississippi","Alcorn State",NA,"SWAC","7,000","1975",-91.1333164,31.873366
"329","Pine Bluff, AR, K. L. Johnson Complex","K. L. Johnson Complex","Pine Bluff","AR","Arkansas","Arkansas-Pine Bluff",NA,"SWAC","4,500","1982",-92.0031955,34.2284312
"330","Grambling, LA, Fredrick C. Hobdy Assembly Center","Fredrick C. Hobdy Assembly Center","Grambling","LA","Louisiana","Grambling",NA,"SWAC","7,500","2007",-92.7237273,32.5204266
"331","Jackson, MS, Williams Assembly Center","Williams Assembly Center","Jackson","MS","Mississippi","Jackson State",NA,"SWAC","8,000","1981",-90.2119454,32.2997878
"332","Itta Bena, MS, Harrison HPER Complex","Harrison HPER Complex","Itta Bena","MS","Mississippi","Mississippi Valley State",NA,"SWAC","5,000","1970[16]",-90.3198067,33.49512
"333","Prairie View, TX, William J. Nicks Building","William J. Nicks Building","Prairie View","TX","Texas","Prairie View A&M",NA,"SWAC","6,500","1968[17]",-95.9930554,30.0922526
"334","Baton Rouge, LA, F. G. Clark Center","F. G. Clark Center","Baton Rouge","LA","Louisiana","Southern",NA,"SWAC","7,500","1975",-91.1855935,30.5219199
"335","Houston, TX, Health and Physical Education Arena","Health and Physical Education Arena","Houston","TX","Texas","Texas Southern",NA,"SWAC","8,100","1989",-95.3655607,29.7229357
"336","Provo, UT, Marriott Center","Marriott Center","Provo","UT","Utah","BYU",NA,"West Coast","19,000","1971",-111.6492988,40.254122
"337","Spokane, WA, McCarthey Athletic Center","McCarthey Athletic Center","Spokane","WA","Washington","Gonzaga",NA,"West Coast","6,000","2004",-117.3991768,47.6653837
"338","Los Angeles, CA, Gersten Pavilion","Gersten Pavilion","Los Angeles","CA","California","Loyola Marymount",NA,"West Coast","4,156","1981",-118.4156096,33.967663
"339","Stockton, CA, Alex G. Spanos Center","Alex G. Spanos Center","Stockton","CA","California","Pacific",NA,"West Coast","6,150","1981",-121.3151352,37.9767312
"340","Malibu, CA, Firestone Fieldhouse","Firestone Fieldhouse","Malibu","CA","California","Pepperdine",NA,"West Coast","3,104","1973",-118.7096946,34.0385192
"341","Portland, OR, Chiles Center","Chiles Center","Portland","OR","Oregon","Portland",NA,"West Coast","4,852","1984",-122.7285261,45.5750973
"342","Moraga, CA, McKeon Pavilion","McKeon Pavilion","Moraga","CA","California","Saint Mary's",NA,"West Coast","3,500","1978",-122.1064498,37.8412834
"343","San Diego, CA, Jenny Craig Pavilion","Jenny Craig Pavilion","San Diego","CA","California","San Diego",NA,"West Coast","5,100","2000",-117.1837806,32.7744376
"344","San Francisco, CA, War Memorial Gymnasium","War Memorial Gymnasium","San Francisco","CA","California","San Francisco",NA,"West Coast","5,300","1958",-122.4495105,37.7768745
